Town,Population,OneDose,FullVax,FirstBoost,SecondBoost,OneDosePerCap,FullVaxPerCap,FirstBoostPerCap,SecondBoostPerCap,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2022_gov
Sheffield,3323.0,2753.0,2310.0,1307.0,360.0,0.8284682515798977,0.695154980439362,0.3933192897983749,0.108335841107433,12.3,0.031,9.2,0.013,6.1,8.3,270.2,,11.2,495.9,,0.0,15.4,27.9,50.0,,6.1,69.5,1814.0,5.2,2524.0,50.3,0.79,20.0,6.4,0.0,147.4,15.4,12.1,37.6,2.9,2.28,31.1,12.4,10.1,25501.0,-0.21,0.3,27.6,31.0,48.8,66.8,,0.098,37.8,19.0,130.0,18.3,5.1,0.51,-0.006,104.0,,0.115,,4.0,85.0,10.7,,42.7,129.8,3.3,0.87,19.2,4100.0,4133.0,80.8,,,485.0,3.1,,2267.0,0.51,28.6,2162.0,Healey
Stockbridge,2013.0,1692.0,1391.0,929.0,357.0,0.8405365126676602,0.6910084451068058,0.4615002483854943,0.1773472429210134,0.0,0.137,10.3,-0.099,10.3,4.1,472.5,253.1,10.8,571.1,,,10.3,204.9,88.0,20.5,77.0,35.4,1304.0,2.6,2980.0,53.0,1.31,39.0,9.9,0.0,111.6,56.5,10.9,42.4,0.6,1.97,39.8,19.2,21.6,29347.0,-0.07,0.5,102.7,41.0,46.5,52.0,,-0.411,16.9,18.5,233.0,30.6,7.8,-0.16,-0.006,85.0,276.0,0.105,,16.0,90.0,8.2,,48.6,82.6,1.5,0.848,,,3944.0,88.3,,,372.0,10.3,30.7,1547.0,-0.24,44.2,1363.0,Healey
Tyringham,420.0,174.0,145.0,109.0,41.0,0.4142857142857143,0.3452380952380952,0.2595238095238095,0.0976190476190476,0.0,0.034,0.0,-0.031,0.0,6.1,1284.4,,10.6,470.9,,0.0,30.6,91.7,8.0,,0.0,22.6,832.0,0.0,3122.0,52.6,2.46,77.0,18.6,0.0,289.2,91.7,0.0,24.4,0.0,2.25,23.9,22.0,17.4,20034.0,-0.35,0.0,30.6,,55.9,83.1,,-0.385,24.5,7.2,183.0,,5.9,0.39,-0.006,13.0,,0.02,,0.0,93.4,24.5,,39.4,953.8,4.4,0.967,11.3,2997.0,2976.0,88.7,,,514.0,0.0,,310.0,0.23,25.8,314.0,Healey
West Stockbridge,1339.0,1300.0,1068.0,673.0,223.0,0.970873786407767,0.7976101568334578,0.5026138909634055,0.1665421956684092,7.7,0.03,15.3,-0.113,0.0,8.4,237.4,,9.8,505.4,,,30.6,89.6,31.0,,23.0,61.5,2017.0,3.1,2684.0,51.9,0.53,14.0,6.4,0.0,117.1,23.0,11.4,32.6,0.0,2.2,29.2,20.7,9.3,27401.0,0.0,0.8,68.9,23.0,48.8,64.0,,0.577,31.4,15.2,106.0,,4.0,0.12,-0.006,48.0,,0.097,,11.0,93.2,10.0,,36.4,53.9,2.0,0.972,,,4714.0,96.3,,,427.0,0.0,,1113.0,0.25,34.9,971.0,Diehl
Williamstown,7508.0,6123.0,4928.0,2823.0,896.0,0.8155301012253596,0.6563665423548215,0.3759989344698988,0.1193393713372402,14.2,0.152,6.4,-0.126,2.6,4.5,78.7,35.0,9.2,331.2,16.9,0.067,2.6,58.0,63.0,9.0,25.8,56.8,1236.0,1.5,1931.0,53.4,,,14.3,0.0,49.6,7.7,24.2,35.1,2.9,2.15,32.8,33.2,9.2,30715.0,-0.1,0.3,41.3,15.0,43.2,45.9,18.6,-0.064,15.1,14.2,124.0,20.5,6.4,0.25,-0.004,306.0,,0.102,12561.0,8.0,88.7,5.5,-0.037,52.5,44.0,9.4,0.913,25.9,5262.0,5245.0,74.1,,0.19,227.0,2.6,,4810.0,0.1,44.4,3757.0,Healey
Windsor,827.0,597.0,524.0,335.0,79.0,0.7218863361547763,0.6336154776299879,0.4050785973397823,0.0955259975816203,0.0,0.009,22.2,-0.108,0.0,1.1,511.7,,11.7,409.3,,,11.1,105.7,5.0,,0.0,67.1,1248.0,3.3,1861.0,49.2,0.97,18.0,4.4,11.1,242.7,11.1,7.0,25.6,4.1,2.44,19.0,25.6,4.6,23838.0,-0.13,1.1,22.2,22.0,48.6,81.9,,0.15,51.2,5.4,29.0,,1.5,1.42,-0.006,4.0,,0.075,,6.0,94.2,15.6,,30.0,883.7,9.1,0.916,,,2408.0,87.5,,,505.0,0.0,,664.0,0.76,25.6,579.0,Healey
Acushnet,10555.0,7642.0,7003.0,3748.0,666.0,0.7240170535291331,0.6634770251065846,0.3550923732828043,0.0630980577925154,7.8,0.05,0.0,-0.188,7.8,8.0,287.3,41.7,10.9,476.4,23.2,0.0,3.9,57.3,25.0,1.0,0.0,62.1,1353.0,8.6,2120.0,50.9,1.79,38.0,11.1,0.0,89.0,1.0,6.4,19.9,6.1,2.62,22.2,8.1,11.3,25483.0,-0.01,0.5,16.5,9.0,41.6,67.4,1.5,0.194,40.0,47.8,145.0,16.4,6.8,1.34,0.001,14.0,135.0,0.109,11533.0,8.0,91.8,37.9,-0.052,47.1,3.9,26.8,0.921,4.9,3306.0,3380.0,95.1,57227.0,0.43,379.0,1.9,12.5,7478.0,0.44,34.8,6068.0,Diehl
Attleboro,46457.0,35630.0,31694.0,17048.0,3615.0,0.7669457778160449,0.682222270056181,0.3669629980411993,0.0778138924166433,11.2,0.229,0.7,-0.176,5.0,12.0,106.2,57.1,10.1,462.0,20.4,0.086,1.8,121.9,57.0,4.4,30.7,55.4,1163.0,4.1,2095.0,51.2,6.48,136.0,5.1,0.9,42.3,2.3,12.2,29.2,9.0,2.55,26.4,11.8,6.0,26131.0,-0.02,0.8,12.6,6.0,38.4,65.2,26.2,0.034,23.2,41.0,143.0,19.6,6.8,0.83,0.001,78.0,,0.133,11529.0,6.0,80.6,23.5,-0.006,37.0,2.7,31.2,0.903,9.7,3341.0,3456.0,90.3,,0.35,310.0,1.6,32.2,27280.0,0.8,25.2,23555.0,Healey
Berkley,6758.0,4960.0,4557.0,2525.0,450.0,0.7339449541284404,0.6743119266055045,0.3736312518496597,0.0665877478543948,10.9,0.026,0.0,-0.136,7.8,10.1,444.5,76.3,10.0,434.4,18.1,0.01,3.1,73.3,18.0,1.6,0.0,67.2,1621.0,10.5,2380.0,50.7,0.86,21.0,6.5,0.0,130.6,0.0,17.6,8.0,5.9,3.03,12.2,10.2,3.5,29488.0,0.01,0.3,10.9,16.0,38.0,106.0,4.7,0.167,40.4,65.4,99.0,9.3,4.1,3.99,0.001,7.0,116.0,0.206,11089.0,7.0,95.4,56.3,-0.087,35.7,10.9,30.7,0.933,9.0,3689.0,3717.0,91.1,,0.39,400.0,1.6,10.8,4424.0,2.15,22.8,4113.0,Diehl
Dartmouth,33778.0,24910.0,22316.0,12457.0,2696.0,0.7374622535378057,0.6606667061400912,0.3687903369056782,0.0798152643732607,10.9,0.071,3.5,-0.138,3.2,5.5,481.3,46.7,10.3,425.9,20.5,0.025,5.9,98.9,34.0,7.6,45.8,58.5,1088.0,4.4,1839.0,49.7,,,8.2,0.0,74.2,1.8,6.3,18.8,6.8,2.54,23.8,11.6,9.2,26800.0,-0.08,0.4,13.2,17.0,43.2,69.4,9.4,0.288,25.3,42.4,158.0,21.9,8.6,2.06,0.001,187.0,295.0,0.117,11220.0,12.0,83.3,38.2,-0.076,53.7,1.5,16.3,0.915,9.7,3146.0,3239.0,90.3,66531.0,0.34,316.0,4.4,21.2,24104.0,0.77,36.9,17884.0,Healey
Dighton,8096.0,5834.0,5324.0,2889.0,571.0,0.720602766798419,0.657608695652174,0.3568428853754941,0.0705286561264822,4.2,0.07,0.0,-0.156,14.1,7.8,388.1,21.1,10.5,451.6,,0.012,8.5,44.5,30.0,,5.6,59.8,1221.0,7.3,2040.0,49.9,4.66,95.0,8.3,0.0,113.6,4.2,14.5,28.8,5.4,2.83,19.1,12.2,13.7,28019.0,0.0,0.3,8.5,17.0,42.6,89.9,,0.319,38.0,56.6,139.0,14.0,6.8,1.4,0.001,20.0,68.0,0.12,,7.0,85.8,53.1,,44.7,0.0,4.3,0.948,10.2,3811.0,3906.0,89.8,,,414.0,2.8,14.0,4860.0,0.64,24.3,4724.0,Diehl
Easton,25053.0,20482.0,18397.0,11856.0,2704.0,0.8175468007823414,0.7343232347423462,0.4732367381151958,0.1079311858859218,45.4,0.222,6.5,-0.105,9.5,9.1,122.4,58.4,9.1,428.6,19.8,0.167,7.4,84.8,20.0,9.1,21.2,53.1,1432.0,5.7,2686.0,52.1,4.69,126.0,17.3,2.6,51.4,2.6,4.5,15.7,6.4,2.66,22.4,18.5,4.8,39783.0,0.02,0.4,13.0,10.0,37.9,79.1,14.4,0.05,18.1,32.8,163.0,16.8,6.1,2.7,0.001,62.0,111.0,0.144,11133.0,14.0,85.7,20.5,-0.012,38.6,4.8,17.4,0.968,8.8,5642.0,5848.0,91.2,67837.0,0.28,332.0,2.6,13.3,15965.0,0.8,26.0,14519.0,Healey
Fairhaven,15920.0,12548.0,11390.0,6618.0,1443.0,0.7881909547738694,0.7154522613065326,0.4157035175879397,0.0906407035175879,7.6,0.112,0.0,-0.12,8.2,8.1,694.9,71.7,10.4,466.6,17.1,0.028,2.5,151.5,56.0,6.3,14.5,54.0,1280.0,5.4,2299.0,51.9,5.13,118.0,8.7,3.2,86.1,3.8,0.0,38.1,4.0,2.33,31.4,11.7,9.9,24528.0,0.01,0.9,25.2,16.0,44.3,55.0,8.7,0.126,29.3,35.2,174.0,22.5,7.6,0.24,0.001,26.0,263.0,0.143,12117.0,10.0,85.6,47.9,-0.022,47.8,0.0,22.1,0.935,8.1,2696.0,2795.0,91.9,60033.0,0.42,351.0,3.2,31.2,10960.0,0.2,33.4,9557.0,Healey
Fall River,93996.0,63987.0,56764.0,26061.0,4910.0,0.6807417336907954,0.6038980382143921,0.2772564789991063,0.0522362653729946,6.2,0.509,0.7,-0.162,11.3,13.0,106.2,97.0,10.8,395.3,20.2,0.088,0.3,194.8,25.0,3.4,40.7,49.1,977.0,2.6,1824.0,52.5,6.49,118.0,11.4,5.9,27.6,11.8,7.3,58.6,10.1,2.27,34.9,6.4,7.3,14536.0,-0.02,3.7,17.0,8.0,38.0,37.8,37.8,0.061,16.0,31.6,168.0,28.0,9.2,-0.21,0.001,46.0,305.0,0.241,13844.0,4.0,77.6,38.3,0.015,35.4,0.4,48.4,0.913,14.6,2367.0,2505.0,85.4,74949.0,0.42,233.0,0.5,106.3,50556.0,0.2,54.3,31616.0,Healey
Freetown,9201.0,7015.0,6401.0,3658.0,719.0,0.7624171285729812,0.6956852516030866,0.3975654820128247,0.0781436800347788,16.9,0.027,2.3,-0.152,14.7,9.7,497.2,69.8,10.4,469.9,,0.003,9.0,125.6,12.0,5.6,1.1,54.5,1140.0,7.9,2044.0,49.8,5.04,103.0,12.8,2.3,115.2,2.3,14.4,13.8,5.1,2.78,14.7,10.6,5.9,29951.0,0.01,0.3,12.4,14.0,42.3,96.1,,0.347,45.5,55.3,197.0,20.2,9.7,3.22,0.001,15.0,224.0,0.109,,9.0,81.7,37.2,,41.5,19.1,9.1,0.946,7.0,3380.0,3472.0,93.1,61405.0,,443.0,3.4,13.4,6357.0,0.83,26.4,5506.0,Diehl
Mansfield,23857.0,21220.0,19038.0,11975.0,2354.0,0.8894664039904431,0.7980047784717273,0.5019491134677453,0.0986712495284403,41.8,0.206,4.7,-0.107,6.9,9.1,123.4,64.2,8.9,440.9,20.5,0.125,1.7,104.4,29.0,8.2,6.0,53.6,1693.0,4.2,3053.0,50.3,3.96,121.0,17.6,0.9,37.1,1.3,0.6,18.0,5.4,2.76,23.0,19.3,3.6,38054.0,0.06,0.3,16.0,14.0,36.6,78.1,12.2,0.059,17.7,28.2,138.0,15.9,4.5,2.23,0.001,80.0,,0.107,11166.0,11.0,75.5,22.0,-0.084,30.6,1.7,25.5,0.932,6.0,5164.0,5370.0,94.0,79613.0,0.41,320.0,3.0,,15250.0,1.28,25.0,14537.0,Healey
New Bedford,101076.0,69228.0,60099.0,27201.0,4680.0,0.6849103644782144,0.5945921880565119,0.2691143298112312,0.0463017927104357,3.8,0.423,0.7,-0.199,9.9,13.5,105.5,101.8,11.1,369.3,18.3,0.043,0.5,120.4,35.0,4.1,17.0,49.4,1134.0,2.5,2146.0,52.0,5.37,115.0,10.4,3.7,27.9,4.0,3.9,56.5,26.1,2.4,32.4,6.7,7.4,14472.0,-0.07,3.1,19.1,9.0,36.8,38.1,51.5,0.036,13.0,37.2,207.0,30.7,9.7,-0.13,0.001,32.0,334.0,0.002,12856.0,4.0,80.0,27.5,0.001,37.4,0.3,46.3,0.952,16.7,2761.0,2763.0,83.3,69402.0,0.31,223.0,0.2,107.3,53519.0,0.14,50.1,34877.0,Healey
North Attleborough,30827.0,24370.0,21692.0,12237.0,2617.0,0.7905407597236189,0.7036688617121355,0.3969572128329062,0.0848931131800045,19.2,0.221,1.4,-0.108,6.3,11.6,120.2,,9.3,456.3,19.3,0.116,5.6,88.4,33.0,8.0,6.3,50.9,1259.0,5.6,2473.0,51.3,4.99,124.0,16.8,2.4,52.8,5.2,6.1,19.9,5.9,2.61,24.9,13.4,4.7,32125.0,-0.04,0.5,13.6,12.0,38.4,70.7,12.8,0.161,22.4,31.1,139.0,18.0,5.6,1.36,0.001,36.0,,0.16,10139.0,9.0,79.0,20.6,-0.012,30.2,1.0,27.2,0.902,5.9,3895.0,4059.0,94.1,66698.0,0.33,341.0,2.1,,19326.0,0.96,21.0,17191.0,Healey
Norton,19197.0,15028.0,13513.0,7988.0,1781.0,0.7828306506224931,0.7039120695942074,0.4161066833359379,0.0927749127467833,14.7,0.226,3.7,-0.14,7.9,7.8,174.5,28.9,9.3,432.8,20.6,0.167,1.6,76.5,19.0,3.7,5.8,50.8,1233.0,4.8,2392.0,51.7,6.1,146.0,20.4,0.5,59.8,1.6,5.4,9.8,4.0,2.69,21.6,16.1,3.8,31234.0,0.08,0.5,16.3,12.0,39.2,87.7,7.4,0.285,26.8,37.6,122.0,15.1,5.1,3.32,0.001,55.0,67.0,0.176,12411.0,9.0,83.9,29.3,-0.088,37.9,3.7,27.3,0.907,14.9,3954.0,4200.0,85.1,69812.0,0.39,322.0,1.6,4.7,12039.0,1.18,22.1,10974.0,Healey
Raynham,15138.0,12398.0,11322.0,6564.0,1252.0,0.8189985467036597,0.7479191438763377,0.4336107808164883,0.0827057735500066,26.2,0.12,0.7,-0.17,8.2,12.0,235.4,58.2,9.3,469.6,,0.077,4.5,196.4,33.0,6.7,14.9,54.9,1269.0,5.5,2264.0,51.3,6.63,150.0,10.2,0.7,86.9,0.0,11.3,9.6,5.9,2.71,20.6,12.1,7.4,31544.0,0.01,0.5,18.7,10.0,39.0,92.1,,0.22,26.1,53.5,273.0,25.3,12.1,4.52,0.001,6.0,251.0,0.09,,13.0,71.7,38.5,,43.0,4.5,3.2,0.919,5.5,4316.0,4291.0,94.5,,,378.0,3.0,14.1,9797.0,1.05,23.4,8811.0,Diehl
Rehoboth,12498.0,8764.0,7505.0,4007.0,900.0,0.7012321971515443,0.6004960793726997,0.3206112978076492,0.0720115218434949,13.8,0.049,0.9,-0.139,2.6,6.6,212.8,39.6,10.7,472.5,,0.013,2.6,103.0,17.0,6.0,6.0,63.6,1115.0,4.0,1753.0,50.0,1.64,29.0,6.8,0.0,97.1,30.2,16.9,17.0,5.6,2.83,15.5,11.4,5.1,34375.0,-0.02,0.3,18.1,11.0,42.8,86.3,,0.437,39.1,50.5,192.0,22.3,11.0,2.14,0.001,83.0,155.0,0.136,,8.0,91.5,30.2,,39.9,6.0,4.9,0.878,3.9,3867.0,3974.0,96.1,,,428.0,9.5,11.9,8576.0,1.1,18.5,7917.0,Diehl
Seekonk,15527.0,9297.0,8130.0,3263.0,658.0,0.5987634443227926,0.5236040445675275,0.2101500611837444,0.0423777935209634,10.2,0.036,0.7,-0.149,0.7,7.1,124.6,33.5,10.4,534.4,20.1,0.008,2.9,227.2,59.0,6.6,4.4,48.8,1436.0,2.8,2909.0,51.5,4.45,130.0,19.6,0.7,46.9,1.5,8.7,13.0,6.4,2.71,17.7,9.5,11.9,31649.0,-0.04,0.1,30.6,9.0,42.9,66.9,8.4,0.382,28.2,42.4,208.0,26.1,7.2,1.25,0.001,46.0,288.0,0.125,11898.0,5.0,75.1,21.8,-0.034,44.9,3.6,14.8,0.902,5.0,3617.0,3722.0,95.0,71023.0,0.32,395.0,5.1,24.5,9638.0,0.38,22.1,8955.0,Healey
Somerset,18299.0,14328.0,13006.0,7571.0,1657.0,0.7829936062079895,0.7107492212689218,0.4137384556533144,0.0905513962511612,12.1,0.058,1.1,,14.3,8.1,258.2,24.7,10.0,497.9,20.2,0.004,1.7,131.2,36.0,3.3,3.3,55.7,1502.0,4.2,2604.0,52.5,3.85,100.0,18.8,1.7,68.0,0.0,4.8,18.9,3.7,2.53,23.4,7.5,14.9,25318.0,-0.02,0.6,16.0,14.0,44.4,64.0,6.6,0.415,32.1,50.1,133.0,21.3,5.1,1.12,0.001,10.0,163.0,,12447.0,9.0,70.6,35.5,-0.337,58.1,1.6,9.1,0.978,7.7,,,92.3,,0.47,326.0,1.7,19.1,13406.0,0.19,38.9,11122.0,Healey
Swansea,17139.0,12492.0,11202.0,6185.0,1326.0,0.7288639943987397,0.6535970593383511,0.3608728630608553,0.077367407666725,13.2,0.032,0.0,-0.156,7.6,7.1,421.7,39.7,10.5,491.8,16.8,0.004,1.9,156.4,21.0,5.7,12.6,55.0,1174.0,5.5,2073.0,51.0,1.8,37.0,19.6,1.9,82.2,19.5,7.5,20.5,4.3,2.57,21.4,7.4,11.7,26821.0,-0.13,0.7,18.9,13.0,45.0,70.7,4.9,0.287,41.3,47.0,193.0,22.6,9.3,1.59,0.001,10.0,240.0,0.159,11504.0,9.0,84.2,42.2,-0.012,47.6,5.0,17.7,0.916,6.1,2965.0,3055.0,93.9,61142.0,0.41,387.0,3.8,26.2,11892.0,0.38,33.1,10034.0,Diehl
Taunton,59403.0,43508.0,39408.0,20571.0,3778.0,0.732420921502281,0.6634008383414979,0.3462956416342609,0.0635994815076679,7.7,0.326,0.0,-0.189,13.4,12.4,178.8,80.6,10.1,429.9,21.0,0.107,0.9,116.4,35.0,4.1,19.9,45.3,1213.0,4.7,2636.0,52.1,6.34,167.0,26.4,3.2,57.9,17.0,8.6,34.0,14.1,2.47,28.9,9.4,6.7,21036.0,-0.01,2.1,14.5,10.0,38.4,57.6,26.9,0.103,22.9,43.6,191.0,19.6,7.3,0.39,0.001,48.0,151.0,0.23,11417.0,6.0,78.0,40.6,-0.023,35.0,3.0,31.3,0.932,14.5,2917.0,3124.0,85.5,74147.0,0.33,310.0,1.3,47.5,35281.0,0.46,33.6,26773.0,Healey
Westport,16332.0,13099.0,11909.0,7010.0,1821.0,0.8020450649032574,0.729181974038697,0.4292187117315699,0.1114988978692138,11.6,0.089,3.9,-0.142,12.2,6.5,1042.4,44.4,10.7,505.2,19.9,0.018,3.9,89.1,13.0,4.5,5.8,53.8,1079.0,5.9,2004.0,51.3,5.48,110.0,15.3,4.5,102.3,1.9,41.4,16.4,3.1,2.52,22.8,10.3,11.7,29848.0,-0.07,0.8,15.5,15.0,45.1,83.1,6.6,0.352,38.3,48.3,162.0,19.8,8.1,2.11,0.001,86.0,168.0,0.144,11718.0,12.0,92.5,62.6,-0.126,48.6,2.6,18.6,,6.6,2713.0,2799.0,93.4,62026.0,0.4,428.0,4.5,12.7,11598.0,0.58,38.5,10546.0,Healey
Chilmark,1210.0,1520.0,1308.0,858.0,322.0,1.256198347107438,1.08099173553719,0.7090909090909091,0.2661157024793388,0.0,0.0,0.0,0.008,0.0,3.5,2702.1,45.6,14.8,722.9,,,34.6,39.3,,11.5,23.1,,,1.2,,49.3,,,,0.0,182.2,0.0,35.4,16.4,1.2,2.16,31.7,29.4,9.4,56790.0,-0.08,1.2,,12.0,45.8,74.6,,-0.244,39.3,7.5,,45.9,,3.73,0.014,84.0,,0.166,,48.0,97.8,144.3,,34.1,0.0,0.1,0.929,,,4294.0,94.4,,,907.0,0.0,,902.0,0.84,44.3,921.0,Healey
Edgartown,5165.0,5220.0,4571.0,2560.0,856.0,1.010648596321394,0.8849951597289448,0.4956437560503388,0.165730880929332,4.9,0.046,7.4,-0.049,4.9,10.1,2082.6,109.1,13.5,572.4,17.2,,9.8,33.9,217.0,4.9,14.8,33.8,2312.0,5.2,6845.0,48.6,1.34,91.0,14.6,0.0,126.6,7.4,10.2,13.5,4.0,2.25,31.5,23.1,2.3,41123.0,-0.09,0.2,88.5,37.0,43.5,65.1,18.1,-0.124,41.8,17.3,586.0,44.0,8.6,1.7,0.014,74.0,,0.16,20887.0,43.0,92.7,137.2,0.054,34.9,2.4,5.7,0.968,,,3964.0,90.7,75025.0,0.31,847.0,12.3,,3293.0,0.51,32.9,3101.0,Healey
Gosnold,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.028,0.0,0.0,14266.7,,11.3,266.7,,,133.3,0.0,,,0.0,,,0.0,,,,,,0.0,118.4,133.3,0.0,45.7,9.3,1.92,46.2,0.0,12.5,18720.0,0.26,0.0,,,60.3,20.9,0.0,-0.6,26.7,25.6,,,,0.34,0.013,22.0,,0.222,,0.0,98.2,213.3,-0.5,0.0,0.0,3.0,0.833,,,2428.0,93.1,,0.83,467.0,0.0,,144.0,0.31,15.0,82.0,Healey
Oak Bluffs,5336.0,3539.0,3149.0,1840.0,655.0,0.6632308845577212,0.5901424287856072,0.3448275862068966,0.1227511244377811,0.0,0.052,8.8,-0.139,6.6,10.4,812.9,65.4,13.7,524.0,13.8,0.016,6.6,61.6,95.0,6.6,57.4,39.0,1999.0,2.2,5124.0,50.9,0.87,45.0,15.3,4.4,71.5,15.5,8.6,31.1,9.0,2.24,35.1,16.9,6.0,16814.0,-0.23,0.9,72.9,4.0,41.9,62.7,26.6,0.033,41.7,22.6,382.0,,7.5,1.98,0.014,85.0,317.0,0.099,19437.0,19.0,92.8,78.9,-0.077,42.8,2.2,6.8,0.985,9.6,4274.0,4329.0,90.4,78222.0,0.32,624.0,0.0,30.2,3483.0,1.23,34.8,3209.0,Healey
Tisbury,4808.0,7446.0,6700.0,3965.0,1273.0,1.5486688851913477,1.3935108153078204,0.824667221297837,0.2647670549084858,10.1,0.119,17.7,,15.2,9.4,1623.2,,13.0,614.8,17.1,,17.7,77.5,120.0,17.7,38.0,43.8,2356.0,9.4,5386.0,51.2,1.04,56.0,16.8,2.5,60.7,12.7,12.7,30.1,7.8,2.19,35.9,22.0,6.9,49470.0,-0.18,1.5,27.9,89.0,47.6,54.7,28.8,-0.19,33.4,16.1,357.0,35.2,6.6,1.05,0.014,336.0,285.0,,20212.0,43.0,88.9,111.9,0.078,39.3,0.0,3.0,0.951,,,,93.5,78323.0,0.27,690.0,5.1,17.3,3386.0,0.86,36.4,2835.0,Healey
West Tisbury,3552.0,2030.0,1885.0,1291.0,461.0,0.571509009009009,0.5306869369369369,0.3634572072072072,0.129786036036036,0.0,0.017,14.6,-0.111,0.0,9.9,456.2,39.6,13.3,506.6,,,18.2,46.0,198.0,,0.0,56.7,2896.0,2.9,5111.0,52.3,1.74,89.0,5.8,0.0,98.3,3.6,15.9,15.8,2.7,2.26,29.4,21.9,2.5,27603.0,-0.09,0.4,,4.0,42.3,67.9,,0.261,42.3,10.9,336.0,,6.6,6.9,0.014,122.0,61.0,0.092,,20.0,95.6,83.9,,31.8,0.0,7.0,0.968,,,5131.0,81.7,,,640.0,7.3,7.1,2394.0,1.85,40.5,2295.0,Healey
Amesbury,17361.0,13672.0,12224.0,6215.0,1337.0,0.7875122400783365,0.7041069062842003,0.3579862911122631,0.0770116928748343,12.9,0.362,6.1,-0.11,7.4,12.6,301.5,26.2,9.5,458.3,19.7,0.233,1.8,91.4,57.0,3.7,7.4,54.3,1636.0,4.4,2931.0,51.7,5.44,159.0,10.2,3.7,50.1,4.3,8.5,39.7,5.6,2.41,30.0,16.5,5.7,30355.0,0.0,0.9,15.4,20.0,40.5,70.8,8.6,-0.016,22.7,24.1,193.0,22.6,6.6,0.5,0.008,87.0,155.0,0.09,12377.0,8.0,83.3,29.0,-0.03,31.5,3.0,20.5,0.914,8.8,5855.0,5984.0,91.2,70341.0,0.24,329.0,6.1,26.6,11203.0,0.64,27.3,10395.0,Healey
Andover,36566.0,33200.0,29874.0,20139.0,5004.0,0.9079472734233988,0.8169884592244161,0.5507575343215009,0.1368484384400809,52.4,0.182,8.4,-0.053,3.3,6.9,75.9,15.5,8.4,464.8,20.9,0.138,0.9,118.7,133.0,17.2,22.6,54.0,1896.0,2.0,3456.0,51.7,5.68,196.0,5.5,0.9,33.0,15.4,5.4,25.1,6.3,2.68,22.3,25.7,5.9,69120.0,0.0,0.2,10.2,11.0,43.1,73.5,22.2,-0.196,10.4,25.1,192.0,20.1,5.6,1.67,0.008,383.0,86.0,0.129,13836.0,14.0,80.1,14.6,0.017,41.2,0.3,7.1,0.817,8.6,7786.0,7967.0,91.5,77136.0,0.29,285.0,7.5,6.8,23490.0,0.42,25.6,21743.0,Healey
